Preserve,Year,Month,Day,Start.Time,Plot,Species.Code,Julian.Date,Veg.Survey,Bison,Fire,Count_ID_Year,Observer,Region.Label,Count,Sample.ID,distbegin,distend,Effort,TSS,Obs
Kankakee,2020,6,11,630,K47,EAME,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,0,50,6,118,T
Kankakee,2020,6,11,630,K47,EAME,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,75,100,6,118,T
Kankakee,2020,6,11,630,K47,GRSP,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,75,100,6,118,T
Kankakee,2020,6,11,630,K47,HESP,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,50,75,6,118,T
Kankakee,2020,6,11,630,K47,HESP,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,50,75,6,118,T
Kankakee,2020,6,11,630,K47,HESP,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,75,100,6,118,T
Kankakee,2020,6,11,630,K47,DICK,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,0,50,6,118,T
Kankakee,2020,6,11,630,K47,DICK,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,75,100,6,118,T
Kankakee,2020,6,11,630,K47,RWBL,163,1,1,0,K47_1_2020,T,K47.2020,K47,1,0,50,6,118,T
Kankakee,2020,6,11,726,K2,SOSP,163,1,1,0,K2_1_2020,T,K2.2020,K2,1,75,100,6,214,T
Kankakee,2020,6,11,726,K2,DICK,163,1,1,0,K2_1_2020,T,K2.2020,K2,1,75,100,6,214,T
Kankakee,2020,6,11,726,K2,DICK,163,1,1,0,K2_1_2020,T,K2.2020,K2,1,75,100,6,214,T
Kankakee,2020,6,11,726,K2,DICK,163,1,1,0,K2_1_2020,T,K2.2020,K2,1,75,100,6,214,T
Kankakee,2020,6,11,726,K2,COYE,163,1,1,0,K2_1_2020,T,K2.2020,K2,1,50,75,6,214,T
Kankakee,2020,6,11,726,K2,COYE,163,1,1,0,K2_1_2020,T,K2.2020,K2,1,75,100,6,214,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,COGR,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
Kankakee,2020,6,22,557,K9,DICK,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,75,100,6,45,T
Kankakee,2020,6,22,557,K9,DICK,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,75,100,6,45,T
Kankakee,2020,6,22,557,K9,COYE,174,1,0,0,K9_2_2020,T,K9.2020,K9,2,0,50,6,45,T
