"Plot","Year","Veg.Survey","Preserve","Bison","Fire","Dung.per.meter2","YSF","VOR","Thatch.Depth","Vertical","X.Bare","X.Thatch","X.Grass","X.Forb","X.Wood","Restoration.Year","dung.sqrt","Restoration.Age","WallowArea","Wallow.sqrt"
"CCE",2020,1,"Nachusa","No Bison","Unburned",0,1,0.325,0.035,0.525,0.0625,0.3,0.1375,0.5,0,2006,0,14,0,0
"CCE",2020,2,"Nachusa","No Bison","Unburned",0,1,0.575,0.0425,0.525,0.075,0.1375,0.3125,0.5,0,2006,0,14,0,0
"CCE",2020,3,"Nachusa","No Bison","Unburned",0,1,0.5,0.08,0.675,0.025,0.1375,0.4125,0.425,0,2006,0,14,0,0
"CCW",2020,1,"Nachusa","No Bison","Unburned",0,1,0.425,0.02875,0.5,0.0375,0.225,0.25,0.4875,0,2008,0,12,0,0
"CCW",2020,2,"Nachusa","No Bison","Unburned",0,1,0.725,0.0325,0.775,0.075,0.125,0.2,0.6125,0,2008,0,12,0,0
"CCW",2020,3,"Nachusa","No Bison","Unburned",0,1,0.7,0.025,0.55,0.0125,0.0875,0.3,0.6125,0,2008,0,12,0,0
"DH",2020,1,"Nachusa","Bison","Burned",0.000625,0,0.475,0,0.475,0.225,0.0125,0.1,0.6625,0,2008,0.025,12,0,0
"DH",2020,2,"Nachusa","Bison","Burned",0.000625,0,0.675,0,0.825,0.0625,0,0.1125,0.8375,0,2008,0.025,12,0,0
"DH",2020,3,"Nachusa","Bison","Burned",0.000625,0,0.725,0,0.8,0.0375,0,0.075,0.8875,0,2008,0.025,12,0,0
"FC",2020,1,"Nachusa","No Bison","Unburned",0,2,0.35,0.045,0.675,0.1375,0.1375,0.5125,0.2125,0,2006,0,14,0,0
"FC",2020,2,"Nachusa","No Bison","Unburned",0,2,0.6,0.06,0.7,0.075,0.225,0.3875,0.3125,0,2006,0,14,0,0
"FC",2020,3,"Nachusa","No Bison","Unburned",0,2,0.65,0.0325,0.725,0.0125,0.1,0.6125,0.275,0,2006,0,14,0,0
"HAV11",2020,1,"Nachusa","Bison","Unburned",0.00375,1,0.225,0.0275,0.3,0.0625,0.3,0.3875,0.25,0,1963,0.061237244,57,10.22,3.19687347262916
"HAV11",2020,2,"Nachusa","Bison","Unburned",0.00375,1,0.275,0.03,0.55,0.05,0.125,0.6625,0.1625,0,1963,0.061237244,57,10.22,3.19687347262916
"HAV11",2020,3,"Nachusa","Bison","Unburned",0.00375,1,0.475,0.0375,0.525,0.05,0.1,0.5125,0.3375,0,1963,0.061237244,57,10.22,3.19687347262916
"HAV7",2020,1,"Nachusa","Bison","Unburned",0.010625,2,0.4,0.0075,0.475,0.075,0.0625,0.3125,0.55,0,1987,0.103077641,33,0,0
"HAV7",2020,2,"Nachusa","Bison","Unburned",0.010625,2,0.325,0.0125,0.35,0.0625,0.1375,0.25,0.55,0,1987,0.103077641,33,0,0
"HAV7",2020,3,"Nachusa","Bison","Unburned",0.010625,2,0.25,0.01,0.4,0.0625,0.1,0.3875,0.45,0,1987,0.103077641,33,0,0
"HL",2020,1,"Nachusa","Bison","Burned",0.08125,0,0.25,0.00125,0.3,0.375,0.075,0.275,0.2625,0.0125,1999,0.285043856,21,610.74,24.7131543919428
"HL",2020,2,"Nachusa","Bison","Burned",0.08125,0,0.2,0,0.375,0.2375,0.025,0.5,0.2375,0,1999,0.285043856,21,610.74,24.7131543919428
"HL",2020,3,"Nachusa","Bison","Burned",0.08125,0,0.2,0.0025,0.375,0.275,0.0375,0.4875,0.2,0,1999,0.285043856,21,610.74,24.7131543919428
"HPE",2020,1,"Nachusa","Bison","Unburned",0.004375,1,0.275,0.00625,0.4,0.2375,0.0875,0.1125,0.5625,0,2011,0.066143783,9,0,0
"HPE",2020,2,"Nachusa","Bison","Unburned",0.004375,1,0.625,0.0075,0.55,0.1625,0.025,0.25,0.6375,0,2011,0.066143783,9,0,0
"HPE",2020,3,"Nachusa","Bison","Unburned",0.004375,1,0.55,0.0125,0.6,0.05,0.025,0.1625,0.7625,0,2011,0.066143783,9,0,0
"HPN",2020,1,"Nachusa","Bison","Burned",0.009375,0,0.275,0.00875,0.325,0.325,0.2125,0.25,0.2125,0,2013,0.096824584,7,0,0
"HPN",2020,2,"Nachusa","Bison","Burned",0.009375,0,0.475,0.005,0.575,0.1375,0.0625,0.5875,0.3875,0,2013,0.096824584,7,0,0
"HPN",2020,3,"Nachusa","Bison","Burned",0.009375,0,0.275,0.005,0.6,0.0875,0.025,0.525,0.5,0,2013,0.096824584,7,0,0
"HPW",2020,1,"Nachusa","Bison","Burned",0.00375,0,0.325,0.00625,0.475,0.2125,0.075,0.15,0.5625,0,2012,0.061237244,8,44.59,6.67757440991862
"HPW",2020,2,"Nachusa","Bison","Burned",0.00375,0,0.45,0.0025,0.525,0.15,0.0125,0.45,0.575,0,2012,0.061237244,8,44.59,6.67757440991862
"HPW",2020,3,"Nachusa","Bison","Burned",0.00375,0,0.55,0,0.625,0.05,0.0125,0.1125,0.8375,0,2012,0.061237244,8,44.59,6.67757440991862
"K2",2020,1,"Kankakee","Bison","Unburned",0.018125,2,0.175,0.035,0.25,0.0125,0.5375,0.275,0.175,0,2002,0.13462912,18,113.58,10.657391800999
"K2",2020,2,"Kankakee","Bison","Unburned",0.018125,2,0.4,0.03,0.425,0.025,0.325,0.4625,0.375,0,2002,0.13462912,18,113.58,10.657391800999
"K2",2020,3,"Kankakee","Bison","Unburned",0.018125,2,0.525,0.02,0.6,0.0125,0.25,0.225,0.525,0,2002,0.13462912,18,113.58,10.657391800999
"K20",2020,1,"Kankakee","No Bison","Unburned",0,8,0.3,0.0675,0.475,0.025,0.475,0.35,0.15,0,2003,0,17,0,0
"K20",2020,2,"Kankakee","No Bison","Unburned",0,8,0.425,0.0375,0.6,0.0125,0.175,0.5875,0.2375,0,2003,0,17,0,0
"K20",2020,3,"Kankakee","No Bison","Unburned",0,8,0.65,0.045,1,0.05,0.2625,0.5375,0.1375,0,2003,0,17,0,0
"K24",2020,1,"Kankakee","Bison","Unburned",0.01875,2,0.225,0.0475,0.175,0.0625,0.4875,0.275,0.175,0,2002,0.136930639,18,0,0
"K24",2020,2,"Kankakee","Bison","Unburned",0.01875,2,0.375,0.0475,0.5,0.0625,0.4125,0.5375,0.15,0.025,2002,0.136930639,18,0,0
"K24",2020,3,"Kankakee","Bison","Unburned",0.01875,2,0.325,0.055,0.5,0.0125,0.3125,0.6875,0.1875,0,2002,0.136930639,18,0,0
"K34",2020,1,"Kankakee","Bison","Unburned",0.01625,2,0.25,0.02,0.35,0.0625,0.3375,0.4375,0.1625,0,2002,0.127475488,18,9.86,3.14006369362152
"K34",2020,2,"Kankakee","Bison","Unburned",0.01625,2,0.4,0.0175,0.45,0.0125,0.1875,0.7125,0.275,0,2002,0.127475488,18,9.86,3.14006369362152
"K34",2020,3,"Kankakee","Bison","Unburned",0.01625,2,0.45,0.0475,0.625,0,0.175,0.7,0.2875,0,2002,0.127475488,18,9.86,3.14006369362152
"K47",2020,1,"Kankakee","Bison","Unburned",0.006875,5,0.175,0.01,0.275,0.1,0.375,0.3875,0.1375,0,1998,0.08291562,22,0,0
"K47",2020,2,"Kankakee","Bison","Unburned",0.006875,5,0.3,0.01,0.425,0.0375,0.35,0.5,0.2125,0,1998,0.08291562,22,0,0
"K47",2020,3,"Kankakee","Bison","Unburned",0.006875,5,0.375,0.03,0.35,0.0625,0.275,0.3,0.4375,0,1998,0.08291562,22,0,0
"K48",2020,1,"Kankakee","Bison","Unburned",0.02,5,0.275,0.1,0.475,0.05,0.3375,0.5125,0.1,0,2001,0.141421356,19,337.3,18.3657289536789
"K48",2020,2,"Kankakee","Bison","Unburned",0.02,5,0.35,0.04,0.6,0.025,0.2625,0.8125,0.1125,0,2001,0.141421356,19,337.3,18.3657289536789
